"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jul-2024","EQ","2,560.00","2,565.00","2,542.05","2,551.50","2,544.70","2,545.15","2,551.18","27,693.00","2,327.45","3,13,676","80,02,45,301.50","41,168"
"03-Jul-2024","EQ","2,550.10","2,569.55","2,540.70","2,544.45","2,557.00","2,551.50","2,554.57","27,693.00","2,327.45","3,15,956","80,71,32,188.60","32,933"
"02-Jul-2024","EQ","2,585.40","2,588.00","2,533.15","2,568.10","2,548.00","2,544.45","2,555.94","27,693.00","2,327.45","5,81,100","1,48,52,54,240.35","53,364"
"01-Jul-2024","EQ","2,559.80","2,591.10","2,557.00","2,551.65","2,564.30","2,568.10","2,573.10","27,693.00","2,327.45","9,24,514","2,37,88,63,611.95","74,810"
"28-Jun-2024","EQ","2,533.75","2,573.70","2,528.30","2,533.75","2,550.35","2,551.65","2,558.97","27,693.00","2,327.45","11,82,033","3,02,47,81,511.10","79,847"
"27-Jun-2024","EQ","2,531.20","2,554.00","2,508.05","2,534.25","2,530.05","2,533.75","2,532.90","27,693.00","2,327.45","8,66,311","2,19,42,80,687.15","1,13,479"
"26-Jun-2024","EQ","2,522.60","2,547.00","2,507.45","2,515.45","2,538.00","2,534.25","2,532.88","27,693.00","2,327.45","4,79,356","1,21,41,49,348.70","55,619"
"25-Jun-2024","EQ","2,535.00","2,538.30","2,505.00","2,530.05","2,515.50","2,515.45","2,517.39","27,693.00","2,327.45","3,12,730","78,72,63,590.65","36,023"
"24-Jun-2024","EQ","2,498.40","2,532.00","2,484.50","2,498.40","2,527.30","2,530.05","2,524.15","27,693.00","2,327.45","7,24,201","1,82,79,91,674.90","58,792"
"21-Jun-2024","EQ","2,532.60","2,548.00","2,488.50","2,539.75","2,491.40","2,498.40","2,504.55","27,693.00","2,327.45","12,71,544","3,18,46,44,026.00","1,43,041"
"20-Jun-2024","EQ","2,525.00","2,551.15","2,500.00","2,526.05","2,535.05","2,539.75","2,534.10","27,693.00","2,327.45","6,57,413","1,66,59,49,921.80","85,789"
