"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Oct-2022","EQ","19,342.10","19,525.15","19,237.25","19,251.85","19,300.00","19,300.15","19,304.03","20,200.00","16,000.00",67036,"1,294,065,259.35",20607
"04-Oct-2022","EQ","19,250.00","19,350.00","19,051.20","18,992.60","19,219.00","19,251.85","19,254.58","20,200.00","16,000.00",37289,"717,984,047.65",12888
"03-Oct-2022","EQ","19,117.50","19,143.95","18,770.00","19,144.80","18,966.00","18,992.60","18,988.75","20,200.00","16,000.00",52046,"988,288,333.95",16605
"30-Sep-2022","EQ","18,950.00","19,195.00","18,894.00","18,979.15","19,129.00","19,144.80","19,093.66","20,200.00","16,000.00",80973,"1,546,070,530.55",21999
"29-Sep-2022","EQ","18,935.20","19,130.00","18,791.25","18,840.95","19,092.65","18,979.15","18,997.94","20,200.00","16,000.00",87195,"1,656,525,594.25",26076
"28-Sep-2022","EQ","18,655.00","18,979.00","18,525.70","18,672.65","18,870.00","18,840.95","18,813.50","20,200.00","16,000.00",105517,"1,985,144,011.95",25058
"27-Sep-2022","EQ","18,548.05","18,795.00","18,545.70","18,453.30","18,650.00","18,672.65","18,667.53","20,200.00","16,000.00",69314,"1,293,921,149.95",18799
"26-Sep-2022","EQ","18,495.80","18,889.90","18,397.55","18,495.90","18,548.05","18,453.30","18,658.30","20,200.00","16,000.00",113085,"2,109,974,208.90",29905
"23-Sep-2022","EQ","18,591.00","18,656.20","18,450.05","18,638.30","18,549.00","18,495.90","18,518.29","20,386.00","16,000.00",35842,"663,732,625.20",11926
"22-Sep-2022","EQ","18,649.90","18,835.00","18,580.55","18,649.90","18,591.00","18,638.30","18,714.61","20,386.00","16,000.00",77931,"1,458,448,432.15",21130
"21-Sep-2022","EQ","18,616.00","18,889.40","18,591.05","18,616.65","18,650.00","18,649.90","18,712.71","20,386.00","16,000.00",46299,"866,379,963.70",15144
"20-Sep-2022","EQ","18,810.00","18,920.00","18,575.10","18,765.25","18,622.35","18,616.65","18,728.80","20,386.00","16,000.00",83800,"1,569,473,813.00",24286
"19-Sep-2022","EQ","18,496.25","18,840.00","18,267.30","18,404.20","18,734.00","18,765.25","18,641.54","20,386.00","16,000.00",53631,"999,764,174.75",18781
"16-Sep-2022","EQ","19,008.90","19,009.00","18,340.55","19,009.00","18,445.00","18,404.20","18,497.26","20,609.15","16,000.00",116163,"2,148,696,963.05",26589
"15-Sep-2022","EQ","19,194.00","19,257.05","18,977.75","19,108.75","19,001.05","19,009.00","19,071.26","20,609.15","16,000.00",33455,"638,029,155.10",13391
"14-Sep-2022","EQ","18,871.00","19,234.35","18,870.95","19,063.65","19,054.00","19,108.75","19,132.46","20,609.15","16,000.00",61601,"1,178,578,704.05",21888
"13-Sep-2022","EQ","18,970.50","19,266.50","18,970.00","18,968.20","19,000.00","19,063.65","19,107.68","20,609.15","16,000.00",51146,"977,281,428.60",13600
"12-Sep-2022","EQ","19,051.55","19,159.95","18,890.10","19,051.25","18,890.10","18,968.20","19,040.56","20,609.15","16,000.00",43560,"829,406,689.70",12080
"09-Sep-2022","EQ","19,370.00","19,370.00","18,990.80","19,123.75","18,993.00","19,051.25","19,163.15","20,609.15","16,000.00",48434,"928,147,951.80",13517
"08-Sep-2022","EQ","19,201.00","19,277.00","19,005.00","19,179.30","19,169.95","19,123.75","19,106.63","20,609.15","16,000.00",54647,"1,044,119,943.65",12187
"07-Sep-2022","EQ","19,041.90","19,307.05","19,015.00","19,041.90","19,074.35","19,179.30","19,188.09","20,609.15","16,000.00",55736,"1,069,467,659.70",12456
"06-Sep-2022","EQ","19,260.70","19,308.00","18,945.05","19,259.70","19,092.00","19,041.90","19,074.83","20,609.15","16,000.00",59370,"1,132,472,897.35",16255
"05-Sep-2022","EQ","19,500.00","19,582.65","19,227.00","19,561.80","19,227.00","19,259.70","19,343.10","20,609.15","16,000.00",49724,"961,816,415.15",10449
"02-Sep-2022","EQ","19,752.30","19,848.00","19,530.00","19,732.95","19,580.00","19,561.80","19,661.42","20,609.15","16,000.00",31241,"614,242,285.25",10847
"01-Sep-2022","EQ","19,700.00","20,050.00","19,574.60","19,925.85","19,743.25","19,732.95","19,752.29","20,609.15","16,000.00",79062,"1,561,655,367.95",24828
"30-Aug-2022","EQ","19,660.00","19,995.00","19,660.00","19,646.35","19,860.00","19,925.85","19,887.73","20,609.15","16,000.00",109751,"2,182,697,950.05",24908
"29-Aug-2022","EQ","19,400.00","19,759.00","19,285.10","19,528.10","19,712.00","19,646.35","19,646.70","20,609.15","16,000.00",48462,"952,118,398.75",18445
"26-Aug-2022","EQ","19,540.00","19,666.05","19,428.00","19,526.65","19,520.00","19,528.10","19,554.69","20,609.15","16,000.00",27989,"547,316,333.95",9797
"25-Aug-2022","EQ","19,671.00","19,786.00","19,464.05","19,671.05","19,513.00","19,526.65","19,677.75","20,609.15","16,000.00",25909,"509,830,936.50",9087
"24-Aug-2022","EQ","19,618.85","19,716.95","19,368.05","19,625.65","19,629.00","19,671.05","19,560.81","20,609.15","16,000.00",33768,"660,529,582.00",12461
"23-Aug-2022","EQ","19,300.00","19,688.95","19,251.15","19,452.20","19,600.00","19,625.65","19,587.18","20,609.15","16,000.00",42881,"839,917,670.10",13089
"22-Aug-2022","EQ","19,401.00","19,630.00","19,350.00","19,440.90","19,480.00","19,452.20","19,496.53","20,609.15","16,000.00",39794,"775,844,882.35",15485
"19-Aug-2022","EQ","19,600.00","19,669.90","19,350.00","19,557.65","19,382.00","19,440.90","19,462.21","20,609.15","16,000.00",36698,"714,224,166.25",11870
"18-Aug-2022","EQ","19,720.00","19,732.75","19,480.00","19,735.30","19,540.00","19,557.65","19,561.50","20,609.15","16,000.00",48921,"956,968,339.50",18287
"17-Aug-2022","EQ","19,682.00","19,843.95","19,669.20","19,682.95","19,749.70","19,735.30","19,738.38","20,609.15","16,000.00",39600,"781,639,921.10",11838
"16-Aug-2022","EQ","19,550.00","19,854.60","19,482.80","19,543.25","19,675.00","19,682.95","19,700.84","20,609.15","16,000.00",66083,"1,301,890,757.70",16005
"12-Aug-2022","EQ","19,700.00","19,756.45","19,413.70","19,679.60","19,540.00","19,543.25","19,533.45","20,609.15","16,000.00",48903,"955,244,276.20",15199
"11-Aug-2022","EQ","19,800.00","19,982.40","19,587.60","19,769.50","19,682.90","19,679.60","19,720.45","20,609.15","16,000.00",50461,"995,113,389.50",15874
"10-Aug-2022","EQ","19,850.60","20,150.00","19,505.00","19,652.95","19,748.35","19,769.50","19,791.73","20,609.15","16,000.00",72207,"1,429,101,761.95",19722
"08-Aug-2022","EQ","19,905.00","19,987.30","19,550.00","19,921.50","19,762.30","19,652.95","19,696.52","20,609.15","16,000.00",57459,"1,131,742,080.10",15138
"05-Aug-2022","EQ","19,840.00","20,020.00","19,729.05","19,850.00","19,905.00","19,921.50","19,873.70","20,609.15","16,000.00",62560,"1,243,298,961.55",16226
"04-Aug-2022","EQ","19,399.00","19,923.80","19,396.10","19,365.90","19,840.00","19,850.00","19,720.66","20,609.15","16,000.00",88280,"1,740,940,131.20",26059
"03-Aug-2022","EQ","19,340.05","19,546.25","19,050.00","19,458.80","19,400.00","19,365.90","19,332.68","20,609.15","16,000.00",51325,"992,249,776.00",16634
"02-Aug-2022","EQ","19,377.00","19,501.00","19,300.20","19,255.20","19,464.35","19,458.80","19,417.79","20,609.15","16,000.00",56219,"1,091,648,785.10",16619
"01-Aug-2022","EQ","19,442.00","19,500.00","19,105.00","19,359.10","19,263.00","19,255.20","19,255.00","20,609.15","16,000.00",58567,"1,127,707,527.35",17291
"29-Jul-2022","EQ","19,112.40","19,423.05","19,001.05","19,112.40","19,350.00","19,359.10","19,220.28","20,609.15","16,000.00",113825,"2,187,747,848.65",27872
"28-Jul-2022","EQ","18,575.00","19,345.00","18,460.00","18,541.90","19,050.00","19,112.40","18,937.95","20,609.15","16,000.00",130457,"2,470,587,762.20",34045
"27-Jul-2022","EQ","18,544.00","18,669.00","18,350.00","18,509.50","18,565.00","18,541.90","18,519.66","20,609.15","16,000.00",44973,"832,884,730.95",12294
"26-Jul-2022","EQ","18,780.00","18,780.00","18,250.25","18,757.55","18,524.95","18,509.50","18,398.46","20,609.15","16,000.00",139471,"2,566,052,182.05",25927
"25-Jul-2022","EQ","18,988.95","19,010.00","18,712.05","18,988.95","18,743.00","18,757.55","18,787.06","20,609.15","16,000.00",35959,"675,563,741.00",10366
"22-Jul-2022","EQ","18,907.75","19,084.00","18,835.55","18,839.95","19,005.10","18,988.95","18,955.17","20,609.15","16,000.00",63200,"1,197,967,030.50",15119
"21-Jul-2022","EQ","18,600.00","18,889.95","18,593.75","18,617.10","18,830.00","18,839.95","18,760.24","20,609.15","16,000.00",50656,"950,318,523.70",13102
"20-Jul-2022","EQ","18,550.00","18,660.00","18,250.00","18,377.70","18,593.75","18,617.10","18,520.25","20,609.15","16,000.00",54663,"1,012,372,549.75",16524
"19-Jul-2022","EQ","18,599.90","18,648.50","18,226.45","18,625.40","18,380.00","18,377.70","18,374.31","20,609.15","16,000.00",43728,"803,471,740.00",13222
"18-Jul-2022","EQ","18,838.70","18,972.00","18,552.55","18,771.50","18,636.00","18,625.40","18,746.73","20,609.15","16,000.00",43977,"824,424,834.50",12462
"15-Jul-2022","EQ","18,400.00","18,836.35","18,376.30","18,363.30","18,773.05","18,771.50","18,651.93","20,609.15","16,000.00",49501,"923,289,122.50",13537
"14-Jul-2022","EQ","18,249.60","18,440.95","18,132.70","18,249.65","18,400.00","18,363.30","18,320.19","20,609.15","16,000.00",52294,"958,035,769.75",17575
"13-Jul-2022","EQ","18,130.00","18,324.90","18,130.00","18,125.15","18,241.00","18,249.65","18,257.46","20,609.15","16,000.00",22751,"415,375,364.70",8084
"12-Jul-2022","EQ","18,416.75","18,470.00","18,101.05","18,489.40","18,137.00","18,125.15","18,249.33","20,609.15","16,000.00",26189,"477,931,596.80",9534
"11-Jul-2022","EQ","18,400.00","18,525.00","18,342.00","18,419.15","18,490.00","18,489.40","18,460.67","20,609.15","16,000.00",39382,"727,018,164.00",10831
"08-Jul-2022","EQ","18,300.00","18,450.00","18,222.00","18,204.95","18,378.30","18,419.15","18,339.86","20,609.15","16,000.00",58825,"1,078,842,410.65",14838
"07-Jul-2022","EQ","18,390.00","18,550.00","18,173.60","18,388.65","18,180.20","18,204.95","18,347.35","20,609.15","16,000.00",51879,"951,842,292.40",13489
"06-Jul-2022","EQ","17,985.00","18,428.40","17,801.25","17,985.00","18,344.80","18,388.65","18,272.24","20,609.15","16,000.00",78391,"1,432,379,324.95",20890
"05-Jul-2022","EQ","17,994.55","18,143.15","17,900.00","17,994.55","17,950.00","17,985.00","18,031.38","20,609.15","16,000.00",41438,"747,184,427.50",13310
"04-Jul-2022","EQ","17,800.00","18,023.45","17,704.50","17,795.05","17,950.00","17,994.55","17,911.76","20,609.15","16,000.00",48729,"872,822,343.35",15174
"01-Jul-2022","EQ","17,400.00","17,829.40","17,331.05","17,470.00","17,800.00","17,795.05","17,672.93","20,609.15","16,000.00",38547,"681,238,569.70",12211
"30-Jun-2022","EQ","17,499.05","17,568.80","17,234.20","17,499.05","17,301.05","17,470.00","17,446.47","20,609.15","16,000.00",102842,"1,794,229,727.20",31468
"29-Jun-2022","EQ","17,350.00","17,525.00","17,252.30","17,403.90","17,519.95","17,499.05","17,454.49","20,609.15","16,000.00",96972,"1,692,596,763.50",21788
"28-Jun-2022","EQ","17,300.00","17,499.85","17,051.00","17,358.25","17,395.00","17,403.90","17,295.16","20,609.15","16,000.00",52224,"903,222,642.60",14265
"27-Jun-2022","EQ","17,350.00","17,407.20","17,182.70","17,231.65","17,400.00","17,358.25","17,320.46","20,609.15","16,000.00",63842,"1,105,772,789.70",14421
"24-Jun-2022","EQ","16,950.05","17,250.00","16,922.05","16,976.30","17,222.90","17,231.65","17,167.45","20,609.15","16,000.00",30380,"521,547,107.90",8569
"23-Jun-2022","EQ","16,820.00","17,044.95","16,700.00","16,775.15","16,955.00","16,976.30","16,934.87","20,609.15","16,000.00",31675,"536,412,150.75",10782
"22-Jun-2022","EQ","16,950.00","16,950.00","16,585.55","16,971.80","16,740.00","16,775.15","16,742.27","20,609.15","16,000.00",52364,"876,692,295.05",16143
"21-Jun-2022","EQ","16,980.00","17,200.00","16,860.00","16,967.10","16,950.00","16,971.80","17,037.47","20,609.15","16,000.00",55631,"947,811,491.70",13070
"20-Jun-2022","EQ","16,700.00","17,022.95","16,537.55","16,642.40","16,914.90","16,967.10","16,914.44","20,609.15","16,000.00",48902,"827,149,981.75",14000
"17-Jun-2022","EQ","16,848.00","16,854.95","16,435.00","16,874.00","16,609.90","16,642.40","16,668.51","20,609.15","16,000.00",145619,"2,427,252,236.30",29555
"16-Jun-2022","EQ","16,949.00","16,949.00","16,614.95","16,802.30","16,887.00","16,874.00","16,796.95","20,609.15","16,000.00",80754,"1,356,420,788.65",18207
"15-Jun-2022","EQ","17,065.00","17,065.00","16,660.00","16,871.45","16,718.00","16,802.30","16,768.10","20,609.15","16,000.00",64753,"1,085,784,597.70",13086
"14-Jun-2022","EQ","16,856.50","17,100.00","16,760.00","16,854.45","16,874.95","16,871.45","16,903.56","20,609.15","16,000.00",66081,"1,117,003,919.55",12949
"13-Jun-2022","EQ","16,690.00","16,969.80","16,540.00","16,774.90","16,856.50","16,854.45","16,809.65","20,609.15","16,000.00",118464,"1,991,338,349.65",25341
"10-Jun-2022","EQ","16,661.00","16,872.50","16,536.80","16,768.15","16,767.00","16,774.90","16,751.00","20,609.15","16,000.00",44810,"750,612,104.80",10749
"09-Jun-2022","EQ","16,680.20","16,824.95","16,485.05","16,723.75","16,780.00","16,768.15","16,707.39","20,609.15","16,000.00",28748,"480,304,099.20",10398
"08-Jun-2022","EQ","16,630.50","16,760.00","16,446.55","16,746.90","16,750.10","16,723.75","16,652.03","20,609.15","16,000.00",81636,"1,359,405,075.65",16442
"07-Jun-2022","EQ","16,850.05","16,999.55","16,610.00","16,996.90","16,700.05","16,746.90","16,701.02","20,609.15","16,000.00",50762,"847,777,399.15",15089
"06-Jun-2022","EQ","17,171.00","17,236.80","16,953.10","17,171.00","17,000.00","16,996.90","17,021.43","20,609.15","16,000.00",36001,"612,788,413.10",10579
"03-Jun-2022","EQ","17,563.00","17,567.35","17,125.60","17,393.80","17,173.10","17,171.00","17,243.67","20,609.15","16,000.00",52686,"908,500,051.20",14744
"02-Jun-2022","EQ","17,240.00","17,476.35","17,020.05","17,241.55","17,391.95","17,393.80","17,337.84","20,609.15","16,000.00",68899,"1,194,560,172.95",22291
"01-Jun-2022","EQ","17,580.00","17,848.45","17,180.10","17,691.50","17,250.00","17,241.55","17,435.31","20,609.15","16,000.00",58247,"1,015,554,228.50",17280
"31-May-2022","EQ","17,705.05","18,157.60","17,457.00","17,706.90","17,699.95","17,691.50","17,812.17","20,609.15","16,000.00",359537,"6,404,132,423.45",47685
"30-May-2022","EQ","17,700.00","17,986.90","17,634.85","17,641.05","17,770.05","17,706.90","17,834.52","20,609.15","16,000.00",52058,"928,429,592.05",16380
"27-May-2022","EQ","17,750.00","17,826.95","17,487.20","17,652.50","17,625.65","17,641.05","17,625.87","20,609.15","16,000.00",42527,"749,575,218.70",17223
"26-May-2022","EQ","17,435.00","17,730.00","17,321.45","17,283.75","17,680.00","17,652.50","17,530.96","20,609.15","16,000.00",105581,"1,850,936,268.60",34746
"25-May-2022","EQ","17,280.00","17,586.00","17,203.45","17,187.10","17,400.00","17,283.75","17,410.41","20,609.15","16,000.00",81501,"1,418,965,731.00",23612
"24-May-2022","EQ","17,149.00","17,278.30","16,853.10","16,994.30","17,135.05","17,187.10","17,137.23","20,609.15","16,000.00",92410,"1,583,651,208.85",19539
"23-May-2022","EQ","17,059.95","17,370.00","16,911.30","16,862.00","17,050.00","16,994.30","17,094.98","20,609.15","16,000.00",103173,"1,763,740,694.65",26239
"20-May-2022","EQ","16,321.00","16,960.00","16,250.05","16,094.25","16,769.00","16,862.00","16,776.14","20,609.15","16,000.00",152477,"2,557,976,003.00",32467
"19-May-2022","EQ","16,170.00","16,244.95","16,000.00","16,343.60","16,130.00","16,094.25","16,086.78","20,609.15","16,000.00",70502,"1,134,150,210.85",26863
"18-May-2022","EQ","16,323.40","16,418.35","16,212.00","16,323.40","16,330.00","16,343.60","16,330.43","20,609.15","16,126.75",96009,"1,567,868,442.55",28760
"17-May-2022","EQ","16,390.00","16,390.00","16,164.65","16,218.85","16,325.00","16,323.40","16,315.29","20,609.15","16,126.75",86305,"1,408,091,428.35",20183
"16-May-2022","EQ","16,502.00","16,520.00","16,134.45","16,402.95","16,200.75","16,218.85","16,239.93","20,609.15","16,126.75",52483,"852,320,120.35",16576
"13-May-2022","EQ","16,490.00","16,562.30","16,304.90","16,220.00","16,380.90","16,402.95","16,428.08","20,609.15","16,126.75",55439,"910,756,374.30",19532
"12-May-2022","EQ","16,484.50","16,484.50","16,126.75","16,512.40","16,225.00","16,220.00","16,225.04","20,609.15","16,126.75",71776,"1,164,568,687.05",24000
"11-May-2022","EQ","16,520.60","16,639.10","16,234.90","16,520.60","16,501.00","16,512.40","16,438.42","20,609.15","16,234.90",61787,"1,015,680,686.40",24721
"10-May-2022","EQ","16,640.00","16,680.00","16,401.00","16,504.35","16,560.00","16,520.60","16,531.08","20,609.15","16,401.00",67177,"1,110,508,270.60",23546
"09-May-2022","EQ","16,993.45","17,055.30","16,450.00","16,995.45","16,510.90","16,504.35","16,623.14","20,609.15","16,450.00",115147,"1,914,104,897.10",29195
"06-May-2022","EQ","17,499.80","17,599.70","16,975.00","17,603.75","17,015.00","16,995.45","17,138.33","20,609.15","16,272.65",89997,"1,542,397,875.00",27064
"05-May-2022","EQ","18,310.15","18,378.40","17,506.00","18,087.75","17,565.05","17,603.75","17,753.25","20,609.15","16,272.65",63313,"1,124,011,341.25",23363
"04-May-2022","EQ","18,281.10","18,472.10","17,970.65","18,440.55","18,123.75","18,087.75","18,168.31","20,609.15","16,272.65",60857,"1,105,668,791.80",21038
"02-May-2022","EQ","18,269.00","18,480.00","18,210.00","18,330.30","18,352.70","18,440.55","18,351.72","20,609.15","16,272.65",41597,"763,376,323.95",13078
"29-Apr-2022","EQ","18,410.00","18,665.60","18,265.80","18,427.70","18,301.15","18,330.30","18,473.71","20,609.15","16,255.00",63398,"1,171,196,086.25",19091
"28-Apr-2022","EQ","18,238.50","18,534.80","18,175.05","18,223.00","18,356.00","18,427.70","18,418.28","20,609.15","16,255.00",78958,"1,454,270,312.45",20095
"27-Apr-2022","EQ","18,152.00","18,465.70","18,150.00","18,415.75","18,220.00","18,223.00","18,304.64","20,609.15","16,255.00",67430,"1,234,281,538.25",18185
"26-Apr-2022","EQ","18,300.00","18,544.20","18,200.00","18,174.70","18,420.00","18,415.75","18,368.74","20,609.15","16,255.00",70593,"1,296,704,312.25",22117
"25-Apr-2022","EQ","17,900.00","18,350.00","17,850.10","18,187.75","18,226.00","18,174.70","18,117.27","20,609.15","16,255.00",84507,"1,531,036,103.00",17311
"22-Apr-2022","EQ","18,040.10","18,249.45","17,832.10","18,202.95","18,184.30","18,187.75","18,066.68","20,609.15","16,255.00",108707,"1,963,974,125.10",18939
"21-Apr-2022","EQ","18,051.00","18,567.90","17,751.00","18,305.20","18,175.00","18,202.95","18,152.06","20,609.15","16,255.00",185341,"3,364,320,558.05",41982
"20-Apr-2022","EQ","18,198.90","18,418.95","17,989.95","17,948.60","18,273.30","18,305.20","18,277.14","20,609.15","16,255.00",88177,"1,611,623,005.70",19595
"19-Apr-2022","EQ","18,540.50","18,725.00","17,832.25","18,561.50","18,150.00","17,948.60","18,257.73","20,609.15","16,255.00",65942,"1,203,950,922.65",16659
"18-Apr-2022","EQ","18,300.00","18,686.00","18,300.00","18,382.40","18,517.40","18,561.50","18,516.22","20,609.15","16,255.00",53773,"995,672,516.55",16480
"13-Apr-2022","EQ","18,475.00","18,549.00","18,250.00","18,417.80","18,281.00","18,382.40","18,395.81","20,609.15","16,255.00",27330,"502,757,384.15",9531
"12-Apr-2022","EQ","18,275.30","18,499.00","18,222.50","18,426.35","18,430.00","18,417.80","18,404.35","20,609.15","16,255.00",54900,"1,010,398,545.70",14631
"11-Apr-2022","EQ","18,418.00","18,520.25","18,213.00","18,452.80","18,430.00","18,426.35","18,398.19","20,609.15","16,255.00",37669,"693,041,251.25",11592
"08-Apr-2022","EQ","18,152.00","18,496.00","18,069.65","18,188.40","18,414.45","18,452.80","18,342.21","20,609.15","16,255.00",34281,"628,789,234.95",10208
"07-Apr-2022","EQ","18,150.00","18,250.00","17,985.00","18,216.75","18,160.00","18,188.40","18,155.15","20,609.15","16,255.00",37487,"680,582,195.70",11648
"06-Apr-2022","EQ","17,975.00","18,260.00","17,863.00","18,023.20","18,200.00","18,216.75","18,080.69","20,609.15","16,255.00",47058,"850,841,167.35",14314
"05-Apr-2022","EQ","17,826.00","18,060.00","17,718.40","17,820.15","17,983.15","18,023.20","17,939.43","20,609.15","16,255.00",39782,"713,666,335.95",13557
"04-Apr-2022","EQ","17,610.00","17,866.50","17,462.05","17,557.20","17,770.00","17,820.15","17,706.27","20,609.15","16,255.00",39784,"704,426,310.50",13200
"01-Apr-2022","EQ","17,380.55","17,607.70","17,250.00","17,380.55","17,553.00","17,557.20","17,439.36","20,609.15","16,255.00",31159,"543,393,040.50",9431
"31-Mar-2022","EQ","17,250.00","17,433.80","17,202.90","17,298.00","17,344.00","17,380.55","17,354.35","20,609.15","16,255.00",62281,"1,080,846,537.45",17502
"30-Mar-2022","EQ","17,108.00","17,347.55","17,022.60","16,921.90","17,250.00","17,298.00","17,192.76","20,609.15","16,255.00",74970,"1,288,941,152.75",20435
"29-Mar-2022","EQ","16,900.00","16,999.95","16,820.00","16,860.05","16,970.00","16,921.90","16,907.98","20,609.15","16,255.00",83759,"1,416,195,158.35",24036
"28-Mar-2022","EQ","17,250.00","17,348.95","16,790.00","17,161.20","16,860.00","16,860.05","16,878.80","20,609.15","16,255.00",80111,"1,352,177,159.00",27627
"25-Mar-2022","EQ","17,478.00","17,478.00","17,075.00","17,408.10","17,188.00","17,161.20","17,184.98","20,609.15","16,116.00",53217,"914,533,081.65",20378
"24-Mar-2022","EQ","17,328.00","17,500.00","17,260.00","17,344.20","17,345.00","17,408.10","17,389.03","20,609.15","16,116.00",43181,"750,875,690.30",14335
"23-Mar-2022","EQ","17,535.00","17,550.00","17,261.00","17,429.25","17,375.00","17,344.20","17,432.19","20,609.15","16,116.00",59279,"1,033,362,908.60",22676
"22-Mar-2022","EQ","17,727.00","17,869.95","17,253.65","17,876.45","17,402.00","17,429.25","17,382.57","20,609.15","16,116.00",140224,"2,437,452,817.35",39048
"21-Mar-2022","EQ","18,350.00","18,370.00","17,813.50","18,284.20","17,851.35","17,876.45","18,019.30","20,609.15","16,116.00",40335,"726,808,406.15",13623
"17-Mar-2022","EQ","17,785.95","18,374.85","17,785.95","17,823.40","18,300.00","18,284.20","18,109.96","20,609.15","16,070.00",100890,"1,827,113,798.75",21152
"16-Mar-2022","EQ","17,610.00","17,885.50","17,471.00","17,461.60","17,760.00","17,823.40","17,689.22","20,609.15","16,070.00",48390,"855,981,163.55",14376
"15-Mar-2022","EQ","17,420.00","17,560.00","17,245.05","17,367.20","17,482.40","17,461.60","17,416.20","20,609.15","16,070.00",62211,"1,083,479,211.80",20277
"14-Mar-2022","EQ","17,477.45","17,477.45","17,158.00","17,327.45","17,420.15","17,367.20","17,292.34","20,609.15","16,070.00",38665,"668,608,328.95",13474
"11-Mar-2022","EQ","17,600.00","17,618.05","17,230.00","17,649.10","17,345.00","17,327.45","17,399.52","20,609.15","16,070.00",73279,"1,275,019,354.40",19006
"10-Mar-2022","EQ","17,300.00","17,685.25","17,221.00","17,145.60","17,580.00","17,649.10","17,484.60","20,609.15","16,070.00",66489,"1,162,533,632.85",19804
"09-Mar-2022","EQ","17,380.00","17,380.00","17,065.65","17,263.30","17,150.00","17,145.60","17,155.87","20,609.15","16,070.00",71122,"1,220,159,610.80",22806
"08-Mar-2022","EQ","17,300.00","17,530.00","16,965.00","17,342.05","17,190.00","17,263.30","17,215.35","20,609.15","16,070.00",97724,"1,682,353,309.35",34359
"07-Mar-2022","EQ","17,100.00","17,407.75","17,040.00","17,391.85","17,272.20","17,342.05","17,270.14","20,609.15","16,070.00",66542,"1,149,189,520.75",19851
"04-Mar-2022","EQ","17,300.00","17,544.05","17,021.00","17,436.50","17,408.50","17,391.85","17,339.72","20,609.15","16,070.00",51705,"896,550,035.15",16867
"03-Mar-2022","EQ","17,880.00","17,880.00","17,389.55","17,844.60","17,446.00","17,436.50","17,579.73","20,609.15","16,070.00",66964,"1,177,209,238.75",18599
"02-Mar-2022","EQ","17,600.00","17,889.40","17,457.05","17,639.15","17,811.50","17,844.60","17,671.73","20,609.15","16,070.00",86631,"1,530,919,582.05",27637
"28-Feb-2022","EQ","17,700.00","17,769.30","17,330.00","17,715.10","17,582.05","17,639.15","17,482.43","20,609.15","16,070.00",157873,"2,760,004,438.05",30738
"25-Feb-2022","EQ","17,800.00","17,894.95","17,600.00","17,744.75","17,710.00","17,715.10","17,720.11","20,609.15","16,002.10",80989,"1,435,134,291.80",21148
"24-Feb-2022","EQ","17,730.00","17,968.70","17,560.00","17,926.65","17,750.00","17,744.75","17,707.23","20,609.15","16,002.10",112105,"1,985,068,653.50",27311
"23-Feb-2022","EQ","18,111.00","18,209.55","17,835.00","18,111.00","17,903.00","17,926.65","18,008.34","20,609.15","16,002.10",59248,"1,066,958,104.75",15596
"22-Feb-2022","EQ","17,985.00","18,193.35","17,739.65","18,106.10","18,009.30","18,111.00","18,031.65","20,609.15","16,002.10",63087,"1,137,562,699.00",18596
