"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Oct-2022","EQ","409.60","417.65","409.50","407.90","413.40","414.10","414.77","536.70","335.00",12771199,"5,297,081,398.40",159765
"04-Oct-2022","EQ","406.00","408.95","402.90","397.65","407.90","407.90","406.50","536.70","335.00",12761425,"5,187,541,978.50",130059
"03-Oct-2022","EQ","405.50","406.55","395.50","404.60","397.50","397.65","400.54","536.70","335.00",20332430,"8,143,977,471.50",230313
"30-Sep-2022","EQ","398.00","408.25","392.50","402.25","405.30","404.60","400.05","536.70","323.15",20951277,"8,381,565,821.95",216223
"29-Sep-2022","EQ","411.00","413.25","399.60","399.10","404.00","402.25","405.29","536.70","323.15",20725995,"8,400,020,713.70",198002
"28-Sep-2022","EQ","394.90","406.60","392.85","398.80","397.50","399.10","401.43","536.70","323.15",18114880,"7,271,865,303.55",177675
"27-Sep-2022","EQ","403.90","404.00","390.35","397.50","399.60","398.80","397.44","536.70","323.15",21932747,"8,717,035,642.20",249236
"26-Sep-2022","EQ","416.00","417.90","393.15","423.10","398.00","397.50","400.45","536.70","323.15",33230938,"13,307,209,237.00",517741
"23-Sep-2022","EQ","431.90","431.90","420.55","432.20","423.50","423.10","424.53","536.70","293.10",13441609,"5,706,338,198.45",175682
"22-Sep-2022","EQ","425.00","434.60","422.55","427.65","432.05","432.20","428.80","536.70","293.10",13600786,"5,831,992,494.25",157185
"21-Sep-2022","EQ","433.95","436.00","425.50","434.25","428.00","427.65","430.13","536.70","293.10",10831068,"4,658,747,968.45",155053
"20-Sep-2022","EQ","430.60","443.35","430.60","425.45","434.80","434.25","438.12","536.70","293.10",17557661,"7,692,279,347.25",187305
"19-Sep-2022","EQ","431.50","431.60","424.05","432.50","425.50","425.45","427.53","536.70","293.10",15236142,"6,513,911,271.90",252321
"16-Sep-2022","EQ","446.00","446.40","429.10","447.25","433.00","432.50","436.04","536.70","293.10",20992324,"9,153,452,431.55",278006
"15-Sep-2022","EQ","452.40","455.85","446.05","450.20","448.25","447.25","449.43","536.70","293.10",10356713,"4,654,644,381.90",120837
"14-Sep-2022","EQ","447.60","454.70","447.00","456.80","450.80","450.20","451.13","536.70","293.10",10360461,"4,673,900,003.60",109186
"13-Sep-2022","EQ","454.30","458.95","453.55","451.00","456.90","456.80","456.00","536.70","293.10",10661280,"4,861,512,938.25",121708
"12-Sep-2022","EQ","447.70","453.00","447.00","445.90","450.90","451.00","450.24","536.70","293.10",8962633,"4,035,300,959.65",117848
"09-Sep-2022","EQ","447.50","449.65","440.60","442.20","446.50","445.90","444.86","536.70","290.90",14294289,"6,358,983,627.70",153630
"08-Sep-2022","EQ","452.45","452.55","440.00","445.85","442.35","442.20","444.73","536.70","290.90",19336014,"8,599,378,661.95",209697
"07-Sep-2022","EQ","453.20","456.50","443.65","457.75","446.20","445.85","448.25","536.70","290.90",20764508,"9,307,649,677.75",261409
"06-Sep-2022","EQ","462.70","463.70","456.60","459.00","457.95","457.75","459.38","536.70","290.90",9805875,"4,504,648,001.80",107966
